pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
fibonacci,Bb_minor,3,90.17,True,80.49,100.0,95.39,90.79,100.0,75.47,100.0,93.66,100.0,80.76,91.39,100.0,71.43,91.4
fibonacci,A_minor,8,89.67,True,88.47,100.0,93.49,88.63,100.0,80.0,91.67,72.43,94.78,89.39,98.05,96.13,71.43,100.0
fibonacci,G_minor,8,89.56,True,77.68,100.0,93.49,90.2,100.0,89.19,91.67,89.64,100.0,82.72,88.57,89.81,71.43,100.0
fibonacci,D_minor,13,88.57,True,85.67,100.0,87.02,92.51,100.0,74.21,100.0,87.2,100.0,90.1,76.72,89.48,71.43,88.57
fibonacci,F_major,13,88.35,True,83.97,100.0,87.02,92.51,100.0,77.89,100.0,85.68,99.09,90.96,76.72,88.96,71.43,87.2
fibonacci,G_minor,13,88.0,True,77.73,100.0,87.02,94.05,100.0,90.0,100.0,93.48,100.0,83.12,44.72,93.99,71.43,100.0
fibonacci,C_major,13,87.89,True,88.97,100.0,87.02,87.88,100.0,75.79,100.0,66.29,98.18,88.98,76.72,98.29,71.43,95.51
fibonacci,C_minor,3,87.51,True,83.72,100.0,90.48,96.39,100.0,75.0,90.91,81.68,100.0,67.03,98.05,95.87,66.67,100.0
fibonacci,F_major,12,87.43,True,81.63,100.0,99.35,92.8,100.0,87.78,92.86,54.13,100.0,82.69,98.05,91.71,71.43,96.19
fibonacci,A_minor,13,87.26,True,86.25,100.0,87.02,89.42,100.0,76.32,100.0,63.8,96.36,88.36,76.72,98.01,71.43,96.36
fibonacci,C_major,8,87.25,True,87.82,100.0,93.49,99.61,94.97,83.24,91.67,72.32,91.99,77.3,76.72,99.36,71.43,100.0
fibonacci,Bb_minor,1,86.81,True,77.2,100.0,89.36,90.21,100.0,72.24,91.67,74.92,99.06,82.84,91.39,90.69,77.78,89.36
fibonacci,D_major,12,86.67,True,81.31,94.61,99.35,84.8,100.0,75.0,92.86,60.78,100.0,88.67,88.57,96.14,71.43,87.37
fibonacci,D_minor,12,86.53,True,78.93,100.0,99.35,94.4,100.0,87.78,92.86,53.11,100.0,79.75,98.05,89.58,71.43,95.29
fibonacci,D_minor,8,85.22,True,86.66,100.0,93.49,93.33,100.0,80.54,91.67,89.21,100.0,90.09,0.0,95.22,71.43,90.54
fibonacci,G_minor,1,84.99,True,86.55,100.0,89.36,95.23,100.0,87.48,91.67,84.11,100.0,85.87,0.0,88.81,77.78,100.0
fibonacci,G_minor,14,84.99,True,78.56,100.0,85.59,90.0,100.0,91.05,92.31,97.85,100.0,79.52,0.0,95.75,71.43,100.0
fibonacci,Bb_minor,11,84.99,True,80.72,100.0,84.65,94.47,100.0,77.3,92.31,70.46,94.78,93.1,44.72,94.26,71.43,92.09
fibonacci,F_major,8,84.24,True,84.2,100.0,93.49,93.33,100.0,82.16,91.67,80.65,100.0,90.45,0.0,94.06,71.43,90.54
fibonacci,E_minor,14,84.04,True,77.35,100.0,85.59,91.52,78.53,75.26,92.31,86.73,77.27,65.5,98.05,100.0,71.43,100.0
