pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
golden_spiral,A_minor,11,89.97,True,91.69,100.0,86.86,84.96,100.0,77.6,92.31,100.0,96.44,79.85,98.05,94.05,71.43,89.17
golden_spiral,G_minor,2,89.15,True,84.67,100.0,96.84,81.48,100.0,84.39,95.0,100.0,96.5,74.72,91.39,99.68,66.67,85.45
golden_spiral,Bb_minor,11,88.94,True,86.3,100.0,86.86,92.71,95.28,69.07,92.31,92.98,98.9,80.47,98.05,95.87,71.43,87.76
golden_spiral,D_major,9,88.89,True,79.04,100.0,93.71,79.54,100.0,77.22,93.33,100.0,97.8,71.22,88.57,97.05,83.33,91.83
golden_spiral,Bb_minor,15,88.68,True,83.76,100.0,86.47,97.63,100.0,61.96,90.91,100.0,98.97,83.81,95.0,94.76,70.0,79.44
golden_spiral,C#_minor,9,88.67,True,85.36,100.0,88.74,87.81,100.0,88.03,90.91,100.0,100.0,84.88,68.72,90.68,65.71,88.63
golden_spiral,C_minor,8,88.59,True,87.33,100.0,93.49,93.33,100.0,84.86,91.67,70.81,100.0,87.59,88.57,89.98,71.43,92.89
golden_spiral,F#_minor,11,88.3,True,85.1,100.0,86.86,81.86,100.0,75.47,92.31,78.61,100.0,82.11,100.0,96.14,71.43,89.89
golden_spiral,D_major,10,88.1,True,74.32,95.6,93.71,85.63,100.0,79.87,93.33,84.46,99.63,69.53,98.05,100.0,83.33,90.32
golden_spiral,C#_minor,1,87.7,True,77.73,100.0,93.81,94.69,100.0,73.33,91.67,89.15,100.0,75.63,95.0,95.33,71.43,83.85
golden_spiral,A_minor,8,87.23,True,78.42,100.0,93.49,93.33,100.0,82.16,91.67,92.37,100.0,82.16,44.72,97.48,71.43,94.55
golden_spiral,G_major,10,86.97,True,79.82,98.78,93.71,87.15,100.0,70.86,93.33,82.85,100.0,76.63,76.72,100.0,83.33,80.73
golden_spiral,F#_minor,2,86.92,True,80.03,100.0,96.84,81.48,100.0,70.73,95.0,100.0,100.0,74.29,91.39,97.37,66.67,69.66
golden_spiral,C_minor,10,86.87,True,84.57,100.0,93.71,84.11,100.0,70.33,93.33,72.16,100.0,74.98,98.05,94.92,83.33,81.28
golden_spiral,C_minor,9,86.8,True,86.83,100.0,88.74,91.0,93.85,74.97,90.91,77.8,100.0,84.42,95.0,90.12,65.71,81.51
golden_spiral,C_major,8,86.76,True,77.16,100.0,93.49,99.61,100.0,82.16,91.67,94.58,100.0,81.17,44.72,90.81,71.43,94.55
golden_spiral,C#_minor,2,86.5,True,80.08,100.0,96.84,82.96,100.0,57.07,95.0,100.0,100.0,74.91,91.39,97.82,66.67,72.94
golden_spiral,E_minor,10,86.37,True,80.76,100.0,93.71,84.11,100.0,65.56,93.33,84.66,100.0,73.7,76.72,100.0,83.33,79.64
golden_spiral,G_major,8,86.27,True,73.96,99.94,93.49,90.2,100.0,79.46,91.67,100.0,96.65,90.45,44.72,100.0,71.43,68.24
golden_spiral,Bb_minor,9,86.22,True,87.61,100.0,93.71,85.63,100.0,72.98,93.33,80.34,91.22,70.23,98.05,91.72,83.33,83.02
