pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
harmonic_series,E_minor,11,91.09,True,81.98,100.0,91.58,95.17,95.17,84.39,100.0,100.0,100.0,81.64,98.05,94.33,71.43,90.38
harmonic_series,F#_minor,13,89.86,True,84.02,100.0,87.02,86.33,100.0,78.95,100.0,100.0,100.0,79.59,98.05,90.34,71.43,90.0
harmonic_series,F_major,13,89.52,True,88.56,100.0,87.02,92.51,100.0,81.05,100.0,71.94,100.0,86.14,100.0,94.54,71.43,91.49
harmonic_series,D_minor,8,88.71,True,78.23,100.0,96.19,97.14,99.7,86.58,90.91,100.0,100.0,66.21,98.05,94.11,57.14,99.52
harmonic_series,D_minor,12,88.54,True,81.64,100.0,92.61,88.85,100.0,79.73,92.31,81.4,100.0,91.95,76.72,89.41,75.0,92.17
harmonic_series,C_minor,5,88.39,True,87.76,100.0,93.71,91.71,100.0,77.22,93.33,93.9,100.0,71.82,88.57,91.6,83.33,79.12
harmonic_series,F#_minor,14,88.29,True,87.41,100.0,93.71,93.23,100.0,57.09,93.33,95.62,98.54,72.09,98.05,87.43,83.33,92.61
harmonic_series,E_minor,14,87.54,True,78.14,100.0,100.0,80.47,100.0,65.5,100.0,99.79,100.0,73.0,98.05,100.0,66.67,73.74
harmonic_series,D_minor,6,87.46,True,79.64,100.0,85.49,84.6,100.0,75.71,94.74,100.0,100.0,82.02,88.57,87.09,71.43,77.95
harmonic_series,G_minor,10,85.86,True,80.36,100.0,93.71,88.67,100.0,66.62,93.33,83.29,100.0,62.73,98.05,94.67,83.33,79.64
harmonic_series,G_major,10,85.83,True,78.1,100.0,93.71,93.23,100.0,65.03,93.33,82.71,98.54,64.47,98.05,94.76,83.33,80.73
harmonic_series,G_minor,2,85.52,True,88.43,100.0,93.71,91.71,100.0,79.87,93.33,57.27,100.0,63.97,88.57,92.67,83.33,95.06
harmonic_series,F_major,9,85.47,True,76.28,100.0,85.98,95.97,100.0,81.67,100.0,89.03,100.0,66.67,44.72,100.0,75.0,94.42
harmonic_series,C#_minor,7,85.34,True,72.32,100.0,92.95,100.0,100.0,75.29,90.91,100.0,100.0,65.33,95.0,82.67,71.43,76.0
harmonic_series,D_minor,5,85.16,True,70.23,83.42,88.46,93.33,95.78,65.18,75.0,97.31,100.0,70.38,98.05,94.78,85.71,71.79
harmonic_series,F#_minor,5,84.77,True,78.19,100.0,88.46,100.0,100.0,90.59,75.0,63.36,100.0,69.45,76.72,91.3,85.71,88.47
harmonic_series,F_major,14,84.53,True,86.95,100.0,85.59,94.55,100.0,73.16,92.31,93.31,100.0,78.36,44.72,92.0,71.43,71.69
harmonic_series,E_minor,12,84.28,True,76.14,100.0,93.88,75.97,100.0,72.84,100.0,91.28,100.0,69.35,76.72,94.58,66.67,73.94
harmonic_series,F#_minor,10,83.94,True,77.15,100.0,93.85,81.18,100.0,66.47,95.24,82.82,100.0,57.54,100.0,100.0,66.67,76.31
harmonic_series,Bb_minor,6,83.41,True,71.87,100.0,93.71,93.23,100.0,63.44,93.33,62.13,91.22,72.36,98.05,98.95,83.33,74.75
