pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
infinity_series,C_major,1,90.17,True,86.0,100.0,95.31,100.0,100.0,83.36,92.31,100.0,100.0,72.88,88.57,90.55,71.43,99.44
infinity_series,A_minor,1,90.11,True,86.85,100.0,95.31,100.0,100.0,86.56,92.31,100.0,100.0,73.34,88.57,86.5,71.43,100.0
infinity_series,C_minor,1,90.06,True,81.61,100.0,89.36,88.54,100.0,86.94,91.67,100.0,100.0,70.17,91.39,94.58,77.78,100.0
infinity_series,F#_minor,4,88.64,True,87.18,100.0,93.71,94.75,100.0,78.28,93.33,85.38,100.0,67.16,98.05,92.84,83.33,89.58
infinity_series,D_major,1,88.56,True,86.3,100.0,89.36,93.56,100.0,90.2,91.67,100.0,100.0,82.55,34.72,91.48,77.78,100.0
infinity_series,C#_minor,1,87.87,True,74.51,100.0,89.36,88.54,100.0,74.97,91.67,91.56,100.0,71.06,91.39,99.87,77.78,89.36
infinity_series,C_minor,3,87.84,True,81.21,100.0,95.39,92.38,94.67,84.0,100.0,85.73,100.0,82.89,68.72,94.54,71.43,87.07
infinity_series,D_major,4,87.5,True,75.0,100.0,89.87,98.33,100.0,57.22,100.0,100.0,98.6,66.09,98.14,100.0,73.33,86.67
infinity_series,G_minor,14,87.39,True,86.77,100.0,85.59,91.52,100.0,71.58,92.31,82.99,100.0,69.94,98.05,92.97,71.43,95.51
infinity_series,C_minor,5,86.89,True,72.29,100.0,94.98,84.77,100.0,79.17,94.44,100.0,100.0,71.83,98.05,88.08,66.67,82.71
infinity_series,E_minor,3,86.88,True,75.61,100.0,95.39,93.97,100.0,76.0,100.0,100.0,100.0,75.42,68.72,93.6,71.43,78.76
infinity_series,G_minor,5,86.88,True,72.57,100.0,94.98,80.43,100.0,78.7,94.44,100.0,100.0,70.71,98.05,89.89,66.67,84.35
infinity_series,G_major,3,86.78,True,76.09,100.0,95.39,93.97,100.0,73.33,100.0,100.0,100.0,74.9,68.72,94.79,71.43,78.25
infinity_series,F_major,13,86.62,True,70.24,100.0,87.02,90.97,100.0,66.84,100.0,86.14,100.0,85.13,88.57,95.59,71.43,76.95
infinity_series,F#_minor,3,86.55,True,80.88,100.0,95.39,87.62,100.0,77.6,100.0,90.83,100.0,74.36,68.72,100.0,71.43,74.43
infinity_series,E_minor,2,86.24,True,74.67,100.0,96.84,77.04,100.0,73.17,95.0,84.55,100.0,76.34,92.42,97.18,66.67,82.61
infinity_series,Bb_minor,3,86.19,True,86.72,95.99,95.39,89.21,100.0,69.07,100.0,85.98,100.0,78.39,68.72,98.15,71.43,73.55
infinity_series,F#_minor,2,86.03,True,69.02,100.0,96.84,82.96,100.0,64.88,95.0,100.0,100.0,71.38,92.42,99.5,66.67,74.96
infinity_series,F#_minor,14,85.7,True,82.23,100.0,90.81,100.0,100.0,77.02,90.0,100.0,100.0,69.47,60.72,84.7,77.78,82.86
infinity_series,D_minor,5,85.49,True,78.52,100.0,94.98,83.32,100.0,83.91,94.44,100.0,100.0,70.07,44.72,100.0,66.67,83.79
