pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
logistic,D_major,3,90.26,True,89.34,100.0,95.39,93.97,100.0,79.73,100.0,89.86,100.0,82.27,95.0,85.31,71.43,98.12
logistic,G_minor,12,88.5,True,85.18,100.0,99.35,88.0,100.0,90.56,92.86,100.0,98.85,80.23,44.72,91.9,71.43,100.0
logistic,C_major,12,87.8,True,83.32,100.0,99.35,88.0,100.0,92.78,92.86,100.0,100.0,75.13,44.72,90.15,71.43,100.0
logistic,Bb_minor,12,87.78,True,80.04,100.0,99.35,91.2,100.0,81.67,92.86,100.0,100.0,83.37,44.72,88.09,71.43,100.0
logistic,A_minor,12,87.75,True,83.69,100.0,99.35,86.4,100.0,95.0,92.86,100.0,100.0,72.98,44.72,91.19,71.43,100.0
logistic,C#_minor,6,87.69,True,88.24,100.0,87.12,99.75,100.0,75.38,77.78,85.23,100.0,78.95,76.72,94.55,75.0,91.46
logistic,C#_minor,12,87.54,True,80.71,100.0,99.35,91.2,100.0,76.67,92.86,100.0,100.0,83.63,44.72,88.0,71.43,100.0
logistic,C_minor,12,87.43,True,77.96,100.0,99.35,84.8,100.0,94.44,92.86,95.84,100.0,71.13,44.72,99.24,71.43,100.0
logistic,C_major,2,87.1,True,77.95,100.0,96.84,80.0,100.0,75.12,95.0,100.0,100.0,74.14,92.42,98.19,66.67,69.66
logistic,G_minor,2,86.66,True,78.51,100.0,96.84,80.0,100.0,64.88,95.0,100.0,100.0,71.61,91.39,94.5,66.67,82.61
logistic,D_major,2,86.66,True,86.44,100.0,96.84,85.93,100.0,78.05,95.0,76.84,100.0,73.34,95.0,93.27,66.67,84.29
logistic,Bb_minor,2,86.1,True,71.79,100.0,96.84,84.44,100.0,80.0,95.0,100.0,100.0,69.74,92.42,92.27,66.67,72.55
logistic,F#_minor,12,85.85,True,89.44,100.0,99.35,91.2,100.0,65.0,92.86,57.79,100.0,73.95,88.57,94.5,71.43,100.0
logistic,C#_minor,2,85.29,True,83.35,100.0,96.84,85.93,100.0,73.17,95.0,72.14,100.0,72.08,95.0,92.26,66.67,82.61
logistic,G_minor,1,84.86,True,87.73,100.0,89.36,90.21,100.0,74.97,91.67,52.89,100.0,67.14,95.0,96.68,77.78,89.36
logistic,F#_minor,2,84.86,True,72.17,100.0,96.84,81.48,100.0,61.46,95.0,93.89,100.0,70.37,92.42,95.63,66.67,74.14
logistic,C_minor,5,84.7,True,72.22,100.0,94.98,87.65,100.0,55.03,94.44,100.0,100.0,74.04,88.57,90.97,66.67,71.39
logistic,D_minor,5,84.03,True,74.34,100.0,94.98,80.43,100.0,72.54,94.44,100.0,100.0,64.57,76.72,93.41,66.67,71.39
logistic,A_minor,5,84.03,True,74.2,100.0,94.98,81.88,100.0,71.12,94.44,100.0,100.0,61.78,76.72,95.75,66.67,73.24
logistic,C_major,9,83.96,True,86.86,100.0,93.71,100.0,100.0,72.45,93.33,37.25,100.0,72.96,88.57,88.44,83.33,93.41
