pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
mandelbrot,E_minor,2,89.4,True,79.36,100.0,93.71,90.19,100.0,79.87,93.33,87.4,100.0,69.48,100.0,99.24,83.33,92.61
mandelbrot,D_major,6,89.01,True,79.41,100.0,93.71,90.19,100.0,84.11,93.33,72.43,98.54,72.36,100.0,99.83,83.33,99.52
mandelbrot,C#_minor,6,88.86,True,84.91,100.0,87.12,93.11,100.0,80.42,77.78,87.41,100.0,68.84,98.05,99.46,75.0,100.0
mandelbrot,A_minor,9,88.48,True,79.05,100.0,93.71,91.71,100.0,81.46,93.33,81.24,100.0,76.05,88.57,97.16,83.33,87.47
mandelbrot,G_minor,1,87.78,True,88.35,100.0,88.3,100.0,100.0,90.34,91.67,47.23,100.0,81.59,98.05,92.31,77.78,97.65
mandelbrot,A_minor,14,87.59,True,84.45,100.0,93.71,94.75,100.0,82.52,93.33,91.25,100.0,67.95,88.57,84.04,83.33,86.8
mandelbrot,G_minor,2,87.49,True,88.12,100.0,93.71,90.19,100.0,80.4,93.33,82.9,100.0,71.75,76.72,89.02,83.33,92.61
mandelbrot,D_minor,11,87.41,True,86.14,100.0,93.71,91.71,100.0,85.17,93.33,80.89,100.0,67.45,88.57,91.91,83.33,84.23
mandelbrot,C_major,9,87.31,True,79.94,100.0,93.71,94.75,100.0,80.4,93.33,78.07,100.0,73.52,76.72,97.4,83.33,87.47
mandelbrot,F_major,11,87.2,True,85.82,100.0,93.71,96.27,100.0,86.23,93.33,81.48,100.0,67.13,88.57,87.68,83.33,84.23
mandelbrot,F_major,5,87.19,True,77.44,100.0,93.71,88.67,97.62,79.87,93.33,84.69,100.0,69.48,88.57,93.45,83.33,88.16
mandelbrot,D_minor,5,87.17,True,78.99,100.0,93.71,91.71,97.62,78.81,93.33,83.08,100.0,71.53,88.57,90.5,83.33,88.16
mandelbrot,C_major,8,86.96,True,68.85,100.0,93.71,94.75,100.0,83.58,93.33,79.51,100.0,73.88,88.57,92.32,83.33,87.47
mandelbrot,G_major,1,86.94,True,82.91,100.0,93.71,91.71,100.0,83.58,93.33,97.46,92.32,73.28,44.72,93.39,83.33,100.0
mandelbrot,F_major,12,86.89,True,78.75,100.0,93.71,91.71,100.0,79.34,93.33,83.41,100.0,67.8,88.57,91.4,83.33,87.47
mandelbrot,C_minor,11,86.87,True,86.79,100.0,93.71,93.23,100.0,85.7,93.33,66.23,100.0,71.47,88.57,92.6,83.33,85.49
mandelbrot,E_minor,8,86.79,True,79.38,100.0,93.71,90.19,100.0,75.1,93.33,83.38,100.0,65.48,88.57,97.82,83.33,84.23
mandelbrot,F_major,9,86.72,True,80.06,100.0,93.71,93.23,100.0,77.75,93.33,83.53,100.0,70.72,76.72,92.39,83.33,87.47
mandelbrot,G_minor,11,86.66,True,87.64,100.0,93.71,93.23,100.0,79.87,93.33,63.73,100.0,74.69,88.57,90.46,83.33,87.47
mandelbrot,F#_minor,14,86.5,True,73.21,100.0,88.23,89.79,100.0,96.06,100.0,92.57,97.1,48.51,92.42,95.18,75.0,100.0
