pattern,key,seed,score,l1_pass,L2.interval_distribution,L2.entropy,L2.harmonic_rhythm,L2.chord_vocabulary,L2.cadence_placement,L2.repetition_variation,L2.phrase_length,L3.phrase_boundaries,L3.thematic_development,L3.tension_arc,L3.form_proportions,L4.intentionality,L4.transition_motivation,L4.directional_momentum
zipf,F#_minor,8,89.9,True,89.08,100.0,93.49,91.76,100.0,62.7,91.67,100.0,100.0,91.41,88.57,96.82,71.43,74.67
zipf,C_minor,8,89.35,True,74.72,100.0,93.49,94.9,100.0,85.95,91.67,94.06,100.0,92.3,100.0,85.41,71.43,75.13
zipf,G_minor,13,88.59,True,87.27,100.0,87.02,90.97,100.0,84.21,100.0,52.61,100.0,89.46,98.05,98.05,71.43,93.85
zipf,D_major,13,87.35,True,64.31,100.0,87.02,86.33,100.0,83.16,100.0,74.52,100.0,91.65,98.05,89.96,71.43,86.53
zipf,C_major,14,86.55,True,84.99,100.0,85.59,88.48,100.0,73.16,92.31,78.42,100.0,79.29,88.57,91.8,71.43,85.88
zipf,E_minor,12,85.93,True,82.42,100.0,99.35,96.0,100.0,87.22,92.86,66.36,100.0,72.24,76.72,95.33,71.43,88.09
zipf,G_major,12,85.71,True,82.59,100.0,99.35,94.4,100.0,82.78,92.86,65.19,100.0,76.61,76.72,92.32,71.43,88.09
zipf,A_minor,14,85.46,True,86.54,100.0,85.59,91.52,100.0,69.47,92.31,80.17,100.0,72.14,88.57,88.53,71.43,85.24
zipf,A_minor,10,85.24,True,70.69,100.0,93.17,82.18,100.0,65.93,94.12,95.41,100.0,56.97,100.0,99.9,71.43,83.01
zipf,C_major,10,85.18,True,71.05,100.0,93.17,82.18,100.0,68.89,94.12,94.23,100.0,59.63,100.0,95.29,71.43,83.01
zipf,Bb_minor,5,85.01,True,62.87,100.0,94.98,83.32,100.0,53.61,94.44,100.0,100.0,70.88,98.05,100.0,66.67,74.01
zipf,Bb_minor,13,84.99,True,80.84,100.0,87.02,89.42,100.0,85.26,100.0,96.33,100.0,85.98,0.0,91.48,71.43,94.67
zipf,D_minor,13,84.86,True,79.46,100.0,87.02,89.42,100.0,90.0,100.0,83.37,100.0,92.2,0.0,89.11,71.43,100.0
zipf,E_minor,14,84.62,True,86.46,100.0,85.59,86.97,100.0,74.21,92.31,82.74,100.0,64.63,76.72,90.72,71.43,88.57
zipf,D_minor,10,84.44,True,81.17,100.0,92.95,81.03,100.0,66.67,100.0,89.24,100.0,53.49,98.05,95.18,66.67,84.0
zipf,F#_minor,10,84.31,True,72.64,100.0,92.95,82.49,100.0,76.67,100.0,100.0,100.0,51.37,88.57,97.08,66.67,77.5
zipf,F_major,10,84.25,True,82.13,100.0,92.95,82.49,100.0,68.1,100.0,97.53,100.0,41.28,98.05,98.12,66.67,84.0
zipf,F#_minor,13,84.22,True,79.13,100.0,87.02,83.24,100.0,66.84,100.0,100.0,100.0,87.94,0.0,98.22,71.43,87.2
zipf,G_major,14,83.85,True,87.69,100.0,85.59,90.0,100.0,74.74,92.31,86.57,88.48,65.32,76.72,90.34,71.43,88.57
zipf,G_minor,5,83.79,True,64.59,100.0,94.98,81.88,100.0,68.28,94.44,96.29,100.0,68.53,76.72,95.31,66.67,77.36
